"id","tag1","tag2","tag3"
535,"accepting blame","",""
686,"accepting blame","",""
487,"age","",""
142,"age","",""
498,"age","",""
279,"asking more work","",""
436,"asking more work","",""
604,"asking more work","motivating contributors",""
635,"asking more work","",""
58,"asking more work","testing",""
260,"bikeshedding","",""
449,"bikeshedding","",""
586,"bikeshedding","size","reviewing"
726,"bikeshedding","",""
737,"bikeshedding","",""
609,"communicating goals and standards","",""
9,"conflicts","",""
51,"conflicts","",""
54,"conflicts","coordination among integrators",""
75,"coordination among contributors","",""
105,"conflicts","",""
177,"conflicts","",""
200,"conflicts","",""
346,"age","",""
471,"conflicts","",""
510,"conflicts","",""
537,"age","conflicts",""
654,"conflicts","testing","maintaining quality"
673,"review tools","tools",""
536,"conflicts","",""
110,"context switching","",""
572,"context switching","",""
155,"coordination among contributors","",""
405,"coordination among contributors","",""
681,"coordination among contributors","communicating goals and standards",""
16,"coordination among contributors","",""
25,"coordination among integrators","",""
544,"coordination among integrators","developer availability",""
97,"developer availability","",""
356,"developer availability","",""
384,"developer availability","",""
403,"developer availability","",""
507,"developer availability","reviewing",""
603,"developer availability","",""
677,"developer availability","",""
5,"differences in opinion","",""
178,"differences in opinion","",""
189,"differences in opinion","",""
402,"differences in opinion","",""
500,"differences in opinion","",""
312,"differences in opinion","",""
561,"differences in opinion","",""
655,"differences in opinion","",""
390,"differences in opinion","",""
82,"explaining rejection","",""
98,"explaining rejection","",""
139,"explaining rejection","",""
170,"explaining rejection","",""
232,"explaining rejection","maintain vision",""
245,"explaining rejection","process ignorance",""
255,"explaining rejection","",""
289,"explaining rejection","asking more work",""
370,"explaining rejection","",""
381,"explaining rejection","",""
404,"explaining rejection","maintaining quality",""
460,"explaining rejection","",""
468,"explaining rejection","",""
517,"explaining rejection","",""
518,"explaining rejection","",""
527,"explaining rejection","",""
578,"explaining rejection","politeness",""
598,"explaining rejection","",""
612,"explaining rejection","",""
683,"explaining rejection","maintain vision",""
739,"explaining rejection","",""
27,"feature isolation","",""
238,"feature isolation","maintain vision",""
509,"feature isolation","",""
625,"feature isolation","",""
716,"feature isolation","",""
29,"generalizing solutions","",""
62,"generalizing solutions","",""
93,"generalizing solutions","",""
114,"generalizing solutions","maintaining quality",""
367,"generalizing solutions","",""
418,"generalizing solutions","poor documentation","maintaining quality"
524,"generalizing solutions","",""
539,"generalizing solutions","",""
562,"generalizing solutions","",""
746,"generalizing solutions","",""
42,"git knoweledge","",""
46,"git knoweledge","process ignorance",""
70,"git knoweledge","",""
188,"git knoweledge","",""
191,"git knoweledge","tools",""
338,"git knoweledge","reviewing","maintaining quality"
366,"git knoweledge","",""
642,"git knoweledge","responsiveness",""
703,"git knoweledge","motivating contributors",""
711,"git knoweledge","",""
276,"git knoweledge","",""
210,"","",""
632,"hit 'n' run RPs","",""
685,"hit 'n' run RPs","size","responsiveness"
56,"explaining rejection","",""
66,"differences in opinion","maintain vision",""
141,"explaining rejection","",""
233,"impact","",""
480,"impact","",""
545,"impact","",""
171,"impact","",""
674,"impact","",""
715,"tools","",""
472,"","",""
91,"love","",""
167,"love","responsiveness",""
503,"love","",""
506,"love","",""
547,"love","",""
747,"love","",""
65,"maintain vision","",""
94,"maintain vision","",""
143,"maintain vision","size",""
186,"maintain vision","",""
214,"maintain vision","maintaining quality",""
234,"maintain vision","",""
244,"maintain vision","maintaining quality",""
292,"maintain vision","",""
523,"maintain vision","",""
563,"maintain vision","maintaining quality",""
641,"maintain vision","",""
646,"maintain vision","",""
701,"maintain vision","",""
722,"maintain vision","explaining rejection",""
30,"maintaining quality","",""
44,"maintaining quality","",""
