"","Custom.Data","Which.of.the.following.best.describes.your.role.","Which.of.the.following.best.describes.your.role....Other..please.specify.","How.many.years.have.you.been.programming","How.many.years.have.you.worked.on.projects.that.are.developed.in.a.geographically.distributed.manner.","How.many.years.have.you.worked.on.projects.that.are.developed.in.a.geographically.distributed.manner....Other..please.specify.","How.many.years.have.you.been.working.in.Open.Source.projects","You.work.for","Which.project.repository.do.you.mainly.handle.pull.requests.for..e.g..rails.rails.....Open.Ended.Response","Is.working.on.this.repository.your.day.job.","How.many.pull.requests.have.you.handled.during.the.last.month.for.your.repository.","In.my.project..developers.use.pull.requests.for...Soliciting.contributions.from.external.parties","In.my.project..developers.use.pull.requests.for...Reviewing.code","In.my.project..developers.use.pull.requests.for...Discussing.new.features.before.those.are.implemented","In.my.project..developers.use.pull.requests.for...Distributing.work.and.tracking.progress","In.my.project..developers.use.pull.requests.for...Issue.fixes","In.my.project..developers.use.pull.requests.for...Other..please.specify.","In.my.project..developers.use.pull.requests.between.branches.in.the.central.repo","How.often.do.the.following.types.of.pull.requests.occur.in.your.project....New.features","How.often.do.the.following.types.of.pull.requests.occur.in.your.project....Bug.fixes","How.often.do.the.following.types.of.pull.requests.occur.in.your.project....Refactorings..excluding.changes.required.for.the.above.","To.merge.pull.requests.I....Use.Github.facilities..the.merge.button.","To.merge.pull.requests.I....Pull.the.proposed.branch.locally..merge.it.with.a.project.branch.and.then.push","To.merge.pull.requests.I....Squash.the.commits.of.the.proposed.branch..merge.it.with.a.project.branch.and.then.push","To.merge.pull.requests.I....Create.a.textual.patch.from.the.remote.branch..apply.this.to.a.project.branch.and.then.push","To.merge.pull.requests.I....Other..please.specify.","Please.rate.the.importance.that.the.following.factors.play.in.the.DECISION.TO.ACCEPT.OR.REJECT.a.pull.request.....Existence.of.tests..in.the.pull.request.","Please.rate.the.importance.that.the.following.factors.play.in.the.DECISION.TO.ACCEPT.OR.REJECT.a.pull.request.....Number.of.commits","Please.rate.the.importance.that.the.following.factors.play.in.the.DECISION.TO.ACCEPT.OR.REJECT.a.pull.request.....Number.of.changed.lines","Please.rate.the.importance.that.the.following.factors.play.in.the.DECISION.TO.ACCEPT.OR.REJECT.a.pull.request.....Number.of.discussion.comments","Please.rate.the.importance.that.the.following.factors.play.in.the.DECISION.TO.ACCEPT.OR.REJECT.a.pull.request.....Pull.requester.track.record","Please.rate.the.importance.that.the.following.factors.play.in.the.DECISION.TO.ACCEPT.OR.REJECT.a.pull.request.....Pull.request.affects.hot.project.area","In.your.experience..what.other.factors.affect.the.decision.to.accept.or.reject.a.pull.request....Open.Ended.Response","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Existence.of.tests..in.the.pull.request.","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Existence.of.tests..in.the.project.","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Number.of.commits","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Number.of.changed.lines","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Number.of.discussion.comments","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Pull.requester.track.record","Please.rate.the.importance.of.the.following.factors.to.the.TIME.TO.MERGE.a.pull.request...Pull.request.affects.hot.project.area","In.your.experience..what.other.factors.affect.the.time.to.merge.a.pull.request....Open.Ended.Response","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....The.pull.request.conflicts.with.another.pull.request.or.branch","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....A.new.pull.request.solves.the.problem.better","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....The.pull.request.implements.functionality.that.already.exists.in.the.project","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....Examination.of.the.proposed.feature.bug.fix.has.been.deferred","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....Tests.failed.to.run.on.the.pull.request","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....The.implemented.feature.contains.technical.errors.or.is.of.low.quality","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....The.pull.request.does.not.follow.project.conventions..style.","In.your.experience..what.are.the.3.most.common.reasons.for.REJECTING.a.pull.request....Other..please.specify.","Rejection.of.pull.requests.might.lead.to.problems.with.the.project.community..Have.you.ever.experienced.such.problems.and.if.yes.how.did.you.deal.with.them....Open.Ended.Response","What.heuristics.do.you.use.when.prioritizing.pull.requests.for.merging....Open.Ended.Response","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....I.delegate.to.devs.more.experienced.with.the.specific.subsystem","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....I.process.them.serially","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....I.just.discard.very.old.pull.requests","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....I.discard.too.discussed...controversial.pull.requests","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....I.trust.pull.requests.from.reputed.pull.requesters","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....I.assess.the.technical.quality.of.the.pull.request","Imagine.you.frequently.have.more.than.50.pull.requests.in.your.inbox..How.do.you.triage.them....Other..please.specify.","How.do.you.do.code.reviews....I.review.code.in.all.pull.requests","How.do.you.do.code.reviews....I.delegate.reviewing.to.more.suitable.code.reviewers","How.do.you.do.code.reviews....I.use.inline.code.comments.in.pull.requests","How.do.you.do.code.reviews....I.only.review.code.in.commits","How.do.you.do.code.reviews....Code.review.is.obligatory.for.a.pull.request.to.be.merged","How.do.you.do.code.reviews....The.community.participates.in.code.reviews","How.do.you.do.code.reviews....Other..please.specify.","What.heuristics.do.you.use.for.assessing.the.quality.of.pull.requests....Open.Ended.Response","What.tools.do.you.use.to.assess.the.quality.of.pull.requests....Continuous.integration..i.e...via.Travis..Jenkins..Cloudbees.","What.tools.do.you.use.to.assess.the.quality.of.pull.requests....Manual.test.execution","What.tools.do.you.use.to.assess.the.quality.of.pull.requests....Code.quality.metrics..i.e..via.Code.Climate.or.Sonar.","What.tools.do.you.use.to.assess.the.quality.of.pull.requests....Coverage.metrics","What.tools.do.you.use.to.assess.the.quality.of.pull.requests....Formal.code.inspections.from.specialized.testers","What.tools.do.you.use.to.assess.the.quality.of.pull.requests....Other..please.specify.","What.is.your.work.style.when.dealing.with.pull.requests....I.insist.on.pull.requests.being.split.per.feature","What.is.your.work.style.when.dealing.with.pull.requests....I.merge.pull.requests.fast.to.ensure.project.flow","What.is.your.work.style.when.dealing.with.pull.requests....I.prefer.pull.requests.to.be.tied.to.an.open.issue","What.is.your.work.style.when.dealing.with.pull.requests....I.am.pedantic.when.enforcing.code.and.documentation.style","What.is.your.work.style.when.dealing.with.pull.requests....I.ask.for.more.work.as.a.result.of.a.discussion","What.is.your.work.style.when.dealing.with.pull.requests....I.close.pull.requests.fast.in.case.of.unresponsive.developers","What.is.your.work.style.when.dealing.with.pull.requests....I.try.to.restrict.discussion.to.a.few.comments","What.is.your.work.style.when.dealing.with.pull.requests....I.try.to.avoid.discussion","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....Email","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....Issue.tracking..I.expect.contributors.to.open.an.issue.describing.the.problem.and.the.potential.fix","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....Pull.request..I.expect.contributors.to.open.a.minimal.pull.request.describing.the.problem.and.the.potential.fix","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....IRC","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....Twitter","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....Skype.Hangouts.Other.form.of.synchronous.communication","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....I.prefer.not.to.communicate","How.do.you.communicate.with.the.project.s.contributors.on.potential.contributions....Other..please.specify.","What.is.the.biggest.challenge..if.any..you.face.while.managing.contributions.through.pull.requests....Open.Ended.Response","What.kind.of.tools.would.you.expect.research.to.provide.you.with.in.order.to.assist.you.with.handling.pull.requests.for.you.project....Open.Ended.Response","mean.prs.last.12.months","project.size","mean.integrators.last.12.months","project.integrator.size","has.community.prs","was.in.orig.projects"
"1",NA,"Source code contributor","","3 - 6","3 - 6","","3 - 6","Open Source Software","","No","11 to 50","","Reviewing code","Discussing new features before those are implemented","Distributing work and tracking progress","Issue fixes","","Yes","Once per week","Daily","Daily","Often","Often","Never","Never","","Mildly Important","Not Important","Mildly Important","Not Important","Mildly Important","Quite Important","","Mildly Important","Mildly Important","Not Important","Mildly Important","Mildly Important","Mildly Important","Relatively Important","","The pull request conflicts with another pull request or branch","A new pull request solves the problem better","The pull request implements functionality that already exists in the project","","","","","","Good communication ensure that this situation doesn't arise.","Importance of the subject the pr is handling.  Time on hand vs time to review.","Often","Occasionally","Never","Never","Occasionally","Often","","","I delegate reviewing to more suitable code reviewers","I use inline code comments in pull requests","","Code review is obligatory for a pull request to be merged","The community participates in code reviews","","Track record and current quality of the pr.","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","","","Coverage metrics","","","Often","Occasionally","Often","Occasionally","Occasionally","Occasionally","Never","Never","Email","","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","IRC","","",NA,"","Time.","Time Machine",NA,NA,NA,NA,FALSE,FALSE
"2",NA,"Project owner or co-owner","","10+","3 - 6","","7 - 10","The industry","genometools/genometools","No","Less than 10","","Reviewing code","","","","we basically use http://rfc.zeromq.org/spec:16","No","Once per week","Once per week","Once per month","Always","Never","Never","Never","","Very Important","Mildly Important","Mildly Important","Mildly Important","Not Important","Mildly Important","All existing tests must pass.","Relatively Important","Very Important","Mildly Important","Relatively Important","Mildly Important","Not Important","Mildly Important","Tests fail and have to be fixed.","","A new pull request solves the problem better","","Examination of the proposed feature/bug fix has been deferred","Tests failed to run on the pull request","","","","No, we did not experience such problems.","We merge everything as fast as possible, we do not prioritize.","Occasionally","Always","Never","Occasionally","Occasionally","Often","We have many maintainers, therefore many people can merge pull requests. Also related to the Collective Code Construction Contract.","","I delegate reviewing to more suitable code reviewers","","I only review code in commits","","The community participates in code reviews","","Automated tests.","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","","","","","We also check coding conventions automatically.","Occasionally","Always","Often","Always","Occasionally","Never","Never","Never","","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","","","",NA,"","No big problems so far.","All existing tools work well for a project of our size.",17.4166666666667,"MEDIUM",3.33333333333333,"MEDIUM",TRUE,TRUE
"3",NA,"Project owner or co-owner","","10+","10+","","10+","The industry","wildfly/wildfly","Yes","11 to 50","","Reviewing code","","Distributing work and tracking progress","Issue fixes","","No","Once per week","Daily","Once per month","Occasionally","Often","Occasionally","Never","","Mildly Important","Mildly Important","Mildly Important","Not Important","Mildly Important","Very Important","Passing CI test runs  Following design standards","Relatively Important","Very Important","Mildly Important","Relatively Important","Relatively Important","Relatively Important","Relatively Important","Complexity of the issue, which often is not reflected in the number of lines or commits  PR queue length","","A new pull request solves the problem better","","Examination of the proposed feature/bug fix has been deferred","Tests failed to run on the pull request","","","","No such problems.","Complexity. Sometimes that gives a PR greater priority, sometimes lesser priority  Criticality  Blocks other work  Non-Red Hat contributor. I prefer to give those priority to encourage more contributions. Red Hat employees dominant the commit history, so doing this does not have a large overall effect on prioritization.","Often","Often","Occasionally","Occasionally","Often","Always","","I review code in all pull requests","I delegate reviewing to more suitable code reviewers","I use inline code comments in pull requests","","Code review is obligatory for a pull request to be merged","The community participates in code reviews","","Reputation of the submitter in the problem area  Following of design standards  Absence of changes extraneous to the core problem","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","","","","","","Always","Often","Often","Occasionally","Occasionally","Never","Never","Never","Email","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","","IRC","","Skype/Hangouts/Other form of synchronous communication",NA,"","Volume","Code inspection in the github UI would be nice. It would be nice to see in the github UI the kinds of inspection WARNs that I see in my ide if I pull down the request",137.333333333333,"LARGE",11.75,"LARGE",FALSE,TRUE
"4",NA,"Project owner or co-owner","","7 - 10","1 - 2","","1 - 2","The academia","hpcugent/easybuild-framework","No","Less than 10","Soliciting contributions from external parties","Reviewing code","Discussing new features before those are implemented","Distributing work and tracking progress","Issue fixes","","No","Once per week","Once per week","Once per week","Always","Never","Never","Never","","Very Important","Not Important","Not Important","Mildly Important","Mildly Important","Mildly Important","code quality e.g. docstrings, correct indendation, following project contribution guidelines.","Relatively Important","Relatively Important","Mildly Important","Relatively Important","Relatively Important","Relatively Important","Relatively Important","/","","","","","Tests failed to run on the pull request","The implemented feature contains technical errors or is of low quality","The pull request does not follow project conventions (style)","","/","most relevant to my own needs first.","Occasionally","Often","Never","Never","Occasionally","Often","","","","I use inline code comments in pull requests","","Code review is obligatory for a pull request to be merged","The community participates in code reviews","","test work, codestyle is correct","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","","","","Formal code inspections from specialized testers","","Often","Occasionally","Occasionally","Always","Often","Never","Occasionally","Never","Email","","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","IRC","","Skype/Hangouts/Other form of synchronous communication",NA,"","","",19.3636363636364,"MEDIUM",1.36363636363636,"SMALL",TRUE,TRUE
"5",NA,"Project owner or co-owner","","7 - 10","3 - 6","","3 - 6","Open Source Software","ros-visualization/rviz","Yes","Less than 10","","Reviewing code","Discussing new features before those are implemented","","Issue fixes","","Yes","Once per week","Once per week","Once per week","Always","Occasionally","Often","Never","","Quite Important","Mildly Important","Mildly Important","Mildly Important","Quite Important","Very Important","Whether or not CI tests pass or fail, whether or not the changes affect public API (cause a major or minor version bump) or affect behavior that other projects/tools depend on.","Relatively Important","Very Important","Relatively Important","Mildly Important","Mildly Important","Very Important","Very Important","Criticality of the change (does it fix a major bug or add a useful but not required feature)","","A new pull request solves the problem better","","","","The implemented feature contains technical errors or is of low quality","The pull request does not follow project conventions (style)","","Try to remain professional and courteous while trying to point them to documentation or provide logical reasons why the pull request cannot be merged.","I prefer pull requests which are well formatted and well thought out. I also prefer pull requests which address bugs over ones which are enhancements.","Often","Often","Occasionally","Occasionally","Often","Always","","","I delegate reviewing to more suitable code reviewers","I use inline code comments in pull requests","","Code review is obligatory for a pull request to be merged","The community participates in code reviews","","How well they can formulate the problem and how much sense their approach to the problem makes.    How well the commits are organized and how well the pull requester has matched the style of his changes to the style of the surrounding code.","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","Manual test execution","","Coverage metrics","","","Often","Often","Never","Often","Often","Never","Occasionally","Occasionally","Email","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","","","",NA,"","Getting contributors to understand reasons why we disagree when it comes to differences of opinion w.r.t. design decisions.","",6.08333333333333,"SMALL",2.22222222222222,"MEDIUM",TRUE,FALSE
"6",NA,"Source code contributor","","7 - 10","7 - 10","","1 - 2","The industry","ORCID/ORCID-Source","Yes","51 to 100","","Reviewing code","","Distributing work and tracking progress","Issue fixes","","Yes","Once per week","Once per week","Once per week","Often","Often","Occasionally","Never","","Quite Important","Quite Important","Not Important","Not Important","Not Important","Not Important","A code review done by other developer","Relatively Important","Relatively Important","Not Important","Not Important","Not Important","Not Important","Mildly Important","Code conflicts","The pull request conflicts with another pull request or branch","A new pull request solves the problem better","","","Tests failed to run on the pull request","","","","No","Bigger branches are merged first","Often","Often","Never","Never","Occasionally","Often","","I review code in all pull requests","I delegate reviewing to more suitable code reviewers","I use inline code comments in pull requests","","","","","A visual review of the logic, comments and structure","","Manual test execution","","","","","Often","Often","Always","Never","Occasionally","Never","Often","Occasionally","Email","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","","","Skype/Hangouts/Other form of synchronous communication",NA,"","","",68.8333333333333,"LARGE",3.16666666666667,"MEDIUM",TRUE,TRUE
"7",NA,"Project owner or co-owner","","10+","7 - 10","","7 - 10","The academia","DSpace/DSpace","No","Less than 10","Soliciting contributions from external parties","Reviewing code","Discussing new features before those are implemented","Distributing work and tracking progress","Issue fixes","","No","Once per week","Once per week","Once per week","Often","Occasionally","Occasionally","Never","","Not Important","Mildly Important","Not Important","Mildly Important","Mildly Important","Mildly Important","Whether the code works - own tests  Description of intended changes in Jira or PR  Availability of documentation","Not Important","Not Important","Not Important","Mildly Important","Relatively Important","Mildly Important","Mildly Important","","The pull request conflicts with another pull request or branch","A new pull request solves the problem better","","","","The implemented feature contains technical errors or is of low quality","","","Loss of motivation to contribute","Time it was opened  Whether I understand that part of codebase","Occasionally","Often","Occasionally","Never","Occasionally","Occasionally","","","","I use inline code comments in pull requests","","","The community participates in code reviews","","own testing","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","","","","Formal code inspections from specialized testers","Own testimg","Often","Often","Always","Occasionally","Occasionally","Occasionally","Often","Never","Email","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","","","",NA,"","","",24.5833333333333,"LARGE",6,"LARGE",TRUE,TRUE
"8",NA,"Project owner or co-owner","","10+","3 - 6","","3 - 6","The industry","joindin/joind.in","No","Less than 10","Soliciting contributions from external parties","Reviewing code","Discussing new features before those are implemented","Distributing work and tracking progress","Issue fixes","","No","Daily","Daily","Once per month","Occasionally","Occasionally","Never","Never","","Quite Important","Mildly Important","Quite Important","Mildly Important","Mildly Important","Quite Important","code style, bugs, failing tests","Relatively Important","Relatively Important","Mildly Important","Relatively Important","Mildly Important","Relatively Important","Relatively Important","Over all busy-ness of mergers","","A new pull request solves the problem better","","","","The implemented feature contains technical errors or is of low quality","The pull request does not follow project conventions (style)","","no","size of PR, tests, contributor","Occasionally","Occasionally","Never","Never","Often","Often","","I review code in all pull requests","I delegate reviewing to more suitable code reviewers","I use inline code comments in pull requests","","Code review is obligatory for a pull request to be merged","","","style, instinct","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","Manual test execution","","Coverage metrics","","","Often","Occasionally","Occasionally","Occasionally","Occasionally","Never","Never","Never","","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","IRC","Twitter","",NA,"","lack of time","easy setup of project, better analysis tools",4.63636363636364,"SMALL",1.7,"SMALL",TRUE,TRUE
"9",NA,"Documentation contributor","","10+","10+","","10+","Open Source Software","crowbar/crowbar","Yes","More than 100","Soliciting contributions from external parties","Reviewing code","Discussing new features before those are implemented","Distributing work and tracking progress","","","Yes","Daily","Daily","Once per month","Always","Often","Always","Occasionally","","Quite Important","Mildly Important","Mildly Important","Quite Important","Very Important","Very Important","Code quality/structure","Very Important","Very Important","Very Important","Mildly Important","Very Important","Very Important","Very Important","Impact on code user experience","The pull request conflicts with another pull request or branch","A new pull request solves the problem better","","","Tests failed to run on the pull request","The implemented feature contains technical errors or is of low quality","","","Ask submitter to refactor the patch to minimize issues.","Impact/Urgency/Planned work","Often","Occasionally","Never","Occasionally","Always","Always","","I review code in all pull requests","I delegate reviewing to more suitable code reviewers","I use inline code comments in pull requests","","Code review is obligatory for a pull request to be merged","The community participates in code reviews","","Passes tests/validation, does not introduce undesirable side-effects","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","Manual test execution","","","Formal code inspections from specialized testers","","Always","Often","Often","Often","Occasionally","Occasionally","Occasionally","Never","Email","","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","IRC","","",NA,"","Resolution of conflicting patches","N/A",12.5,"MEDIUM",6.16666666666667,"LARGE",TRUE,TRUE
"10",NA,"Project owner or co-owner","","7 - 10","3 - 6","","3 - 6","The industry","saltstack/salt","Yes","More than 100","Soliciting contributions from external parties","Reviewing code","Discussing new features before those are implemented","Distributing work and tracking progress","Issue fixes","","Yes","Daily","Daily","Once per week","Always","Occasionally","Never","Never","","Mildly Important","Not Important","Quite Important","Mildly Important","Very Important","Very Important","","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","","The pull request conflicts with another pull request or branch","","The pull request implements functionality that already exists in the project","","","The implemented feature contains technical errors or is of low quality","","","Very rarely, if someone can't deal with our already very lenient approach they just leave","Just get them merged!","Always","Always","Occasionally","Occasionally","Often","Always","This has never happened, we don't let Pull Requests get out of hand","","I delegate reviewing to more suitable code reviewers","","","Code review is obligatory for a pull request to be merged","The community participates in code reviews","","We have many tests that are run, as well as community feedback","Continuous integration (i.e., via Travis, Jenkins, Cloudbees)","Manual test execution","Code quality metrics (i.e. via Code Climate or Sonar)","Coverage metrics","","","Occasionally","Often","Occasionally","Occasionally","Often","Occasionally","Never","Never","Email","Issue tracking: I expect contributors to open an issue describing the problem and the potential fix","Pull request: I expect contributors to open a minimal pull request describing the problem and the potential fix","IRC","","",NA,"","Bad PRs making it through","I have no idea",403.583333333333,"LARGE",24.9166666666667,"LARGE",TRUE,TRUE
